pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
LTT 3780 c,LTT 3780,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,12.252284,1.3e-05,-1.3e-05,0.0,0.0757,0.0018,-0.0018,0.0,2.39,0.1,-0.11,0.0,0.213,0.009,-0.01,0.0,8.04,0.5,-0.48,0.0,0.0253,0.00157,-0.00151,0.0,Mass,0.024,0.032,-0.017,0.0,2.76,0.33,-0.31,0.0,359.0,10.0,-10.0,0.0,0,M3.5 V,3358.0,92.0,-92.0,0.0,0.38,0.01,-0.01,0.0,0.38,0.02,-0.03,0.0,0.06,0.11,-0.11,0.0,[Fe/H],4.85,0.11,-0.11,0.0,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,13.14,0.035,-0.035,8.204001,0.021,-0.021,11.8465,0.000477,-0.000477
NGTS-8 b,NGTS-8,1,1,Transit,2019,Next-Generation Transit Survey (NGTS),0,2.4997,1e-05,-1e-05,0.0,0.035,0.001,-0.001,0.0,12.218,0.336,-0.336,0.0,1.09,0.03,-0.03,0.0,295.5819,12.7132,-9.5349,0.0,0.93,0.04,-0.03,0.0,Mass,0.01,0.014,-0.01,0.0,503.0,33.0,-33.0,0.0,1345.0,19.0,-19.0,0.0,0,K0 V,5241.0,50.0,-50.0,0.0,0.98,0.02,-0.02,0.0,0.89,0.05,-0.04,0.0,0.24,0.09,-0.09,0.0,[Fe/H],4.41,0.03,-0.03,0.0,21h55m54.22s,328.9759206,-14d04m06.38s,-14.0684399,428.976,5.621,-5.481,13.69,0.103,-0.103,11.642,0.021,-0.021,13.4954,0.000304,-0.000304
NGTS-9 b,NGTS-9,1,1,Transit,2019,Next-Generation Transit Survey (NGTS),0,4.43527,2e-05,-2e-05,0.0,0.058,0.003,-0.002,0.0,11.994,0.673,-0.673,0.0,1.07,0.06,-0.06,0.0,921.707,54.0311,-54.0311,0.0,2.9,0.17,-0.17,0.0,Mass,0.06,0.076,-0.052,0.0,729.0,80.0,-80.0,0.0,1448.0,36.0,-36.0,0.0,0,F8 V,6330.0,130.0,-130.0,0.0,1.38,0.04,-0.04,0.0,1.34,0.05,-0.05,0.0,0.31,0.15,-0.15,0.0,[Fe/H],4.37,0.2,-0.2,0.0,09h27m40.95s,141.9206435,-19d20m51.53s,-19.3476477,609.128,15.952,-15.171,12.868,0.057,-0.057,11.452,0.024,-0.024,12.6547,0.000237,-0.000237
TIC 139270665 b,TIC 139270665,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,23.624,0.03,-0.031,0.0,0.163,0.0027,-0.0033,0.0,7.23,0.269,-0.247,0.0,0.645,0.024,-0.022,0.0,147.15455,14.62011,-14.62011,0.0,0.463,0.046,-0.046,0.0,Mass,0.105,0.053,-0.05,0.0,40.3,3.4,-2.7,0.0,703.0,14.0,-11.0,0.0,0,G2,5844.0,84.0,-82.0,0.0,1.02,0.04,-0.03,0.0,1.04,0.05,-0.06,0.0,0.156,0.057,-0.056,0.0,[Fe/H],4.44,0.03,-0.04,0.0,08h16m08.14s,124.0338967,+33d17m29.23s,33.2914532,189.875,1.615,-1.589,10.385,0.005,-0.005,8.946,0.019,-0.019,10.1805,0.000347,-0.000347
TOI-1062 b,TOI-1062,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,4.11296,0.0015,-0.0015,0.0,0.052,0.024,-0.025,0.0,2.265,0.096,-0.091,0.0,0.202,0.009,-0.008,0.0,10.15,0.81,-0.84,0.0,0.03194,0.00255,-0.00264,0.0,Mass,0.177,0.067,-0.064,0.0,232.0,11.0,-10.0,0.0,1077.0,10.0,-9.0,0.0,0,G9 V,5328.0,56.0,-56.0,0.0,0.84,0.09,-0.09,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[Fe/H],4.55,0.09,-0.09,0.0,02h32m29.03s,38.1209678,-78d01m25.26s,-78.0236828,82.1733,0.1635,-0.1629,10.249,0.005,-0.005,8.296,0.031,-0.031,10.0008,0.000374,-0.000374
TOI-1107 b,TOI-1107,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,4.0782387,2.4e-06,-2.5e-06,0.0,0.0561,0.0024,-0.0025,0.0,14.572,0.56,-0.56,0.0,1.3,0.05,-0.05,0.0,1064.72516,57.20911,-57.20911,0.0,3.35,0.18,-0.18,0.0,Mass,0.025,0.023,-0.016,0.0,532.0,92.0,-93.0,0.0,1728.0,27.0,-27.0,0.0,0,F6 V,6311.0,98.0,-98.0,0.0,1.81,0.06,-0.06,0.0,1.35,0.08,-0.08,0.0,-0.1,0.09,-0.09,0.0,[Fe/H],4.05,0.04,-0.04,0.0,10h22m25.89s,155.6078632,-82d13m07.93s,-82.2188693,281.314,2.031,-2.003,10.553,0.006,-0.006,9.205,0.019,-0.019,10.3745,0.000367,-0.000367
TOI-1130 b,TOI-1130,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,4.074554,1e-06,-0.000441,0.0,0.0453,0.0001,-0.0002,0.0,3.66,0.03,-0.04,0.0,0.327,0.003,-0.004,0.0,19.8,0.2,-0.3,0.0,0.0623,0.00063,-0.00094,0.0,Mass,0.052162,0.000956,-2e-06,0.0,78.1,5.55,-5.55,0.0,825.0,23.0,-23.0,0.0,1,K6-K7,4360.0,108.0,-108.0,0.0,0.7,0.01,0.0,0.0,0.74,0.01,-0.01,0.0,0.11,0.1,-0.1,0.0,[Fe/H],4.55,0.07,-0.07,0.0,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609,0.17,-0.1691,11.595,0.026,-0.026,8.351,0.033,-0.033,10.9028,0.000774,-0.000774
TOI-1130 c,TOI-1130,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.3501898,9.38e-05,-1e-06,0.0,0.0731,0.0002,-0.0003,0.0,13.0,0.4,-0.4,0.0,1.16,0.036,-0.036,0.0,336.0,2.0,-5.0,0.0,1.05717,0.00629,-0.01573,0.0,Mass,0.0398,0.0009,-0.0002,0.0,30.0,2.13,-2.13,0.0,650.0,18.0,-18.0,0.0,1,K6-K7,4360.0,108.0,-108.0,0.0,0.7,0.01,0.0,0.0,0.74,0.01,-0.01,0.0,0.11,0.1,-0.1,0.0,[Fe/H],4.55,0.07,-0.07,0.0,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609,0.17,-0.1691,11.595,0.026,-0.026,8.351,0.033,-0.033,10.9028,0.000774,-0.000774
TOI-1173 b,TOI-1173,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,7.06466,0.00028,-0.00029,0.0,0.0696,0.0014,-0.0014,0.0,9.19,0.18,-0.18,0.0,0.82,0.016,-0.016,0.0,27.4,1.7,-1.7,0.0,0.08621,0.00535,-0.00535,0.0,Mass,0.023,0.025,-0.016,0.0,132.0,10.0,-10.0,0.0,868.0,11.0,-11.0,0.0,0,G9,5350.0,34.0,-34.0,0.0,0.93,0.01,-0.01,0.0,0.91,0.03,-0.03,0.0,0.139,0.065,-0.065,0.0,[Fe/H],4.45,0.02,-0.02,0.0,13h10m43.94s,197.6830975,+70d46m04.84s,70.7680117,132.353,0.461,-0.458,11.038,0.009,-0.009,9.134,0.015,-0.015,10.8041,0.000359,-0.000359
TOI-1231 b,TOI-1231,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,24.245586,6.4e-05,-6.6e-05,0.0,0.1288,0.0021,-0.0022,0.0,3.65,0.16,-0.15,0.0,0.326,0.014,-0.013,0.0,15.4,3.3,-3.3,0.0,0.04845,0.01038,-0.01038,0.0,Mass,0.087,0.12,-0.061,0.0,1.93,0.1,-0.1,0.0,330.0,4.0,-4.0,0.0,0,M3 V,3553.0,51.0,-52.0,0.0,0.48,0.02,-0.01,0.0,0.49,0.02,-0.02,0.0,0.041,0.069,-0.063,0.0,[Fe/H],4.77,0.03,-0.04,0.0,10h26m59.34s,156.74726,-52d28m04.34s,-52.4678724,27.6227,0.0609,-0.0609,12.36,0.2,-0.2,8.069,0.026,-0.026,11.36,0.000922,-0.000922
TOI-1235 b,TOI-1235,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,3.444714,9e-05,-9e-05,0.0,0.03845,0.00037,-0.0004,0.0,1.69,0.08,-0.08,0.0,0.151,0.007,-0.007,0.0,6.69,0.67,-0.69,0.0,0.02105,0.00211,-0.00217,0.0,Mass,0.049,0.072,-0.035,0.0,60.3,1.6,-1.5,0.0,775.0,13.0,-13.0,0.0,0,M0.5 V,3997.0,51.0,-51.0,0.0,0.62,0.02,-0.02,0.0,0.63,0.02,-0.02,0.0,0.33,0.16,-0.16,0.0,[Fe/H],4.64,0.04,-0.04,0.0,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345,0.0478,-0.0478,11.495,0.056,-0.056,7.893,0.023,-0.023,10.8492,0.000519,-0.000519
TOI-125 b,TOI-125,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.65382,0.00033,-0.00031,0.0,0.05186,0.00086,-0.00077,0.0,2.726,0.075,-0.075,0.0,0.243,0.007,-0.007,0.0,9.5,0.88,-0.88,0.0,0.02989,0.00277,-0.00277,0.0,Mass,0.194,0.041,-0.036,0.0,185.0,9.0,-9.0,0.0,1037.0,11.0,-11.0,0.0,0,K0 V,5320.0,39.0,-39.0,0.0,0.85,0.01,-0.01,0.0,0.86,0.04,-0.04,0.0,-0.02,0.03,-0.03,0.0,[Fe/H],4.52,0.02,-0.02,0.0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411
TOI-125 c,TOI-125,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,9.15059,0.0007,-0.00082,0.0,0.0814,0.0013,-0.0013,0.0,2.759,0.1,-0.1,0.0,0.246,0.009,-0.009,0.0,6.63,0.99,-0.99,0.0,0.02086,0.00311,-0.00311,0.0,Mass,0.066,0.07,-0.047,0.0,77.59,3.31,-3.31,0.0,828.0,9.0,-9.0,0.0,0,K0 V,5320.0,39.0,-39.0,0.0,0.85,0.01,-0.01,0.0,0.86,0.04,-0.04,0.0,-0.02,0.03,-0.03,0.0,[Fe/H],4.52,0.02,-0.02,0.0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411
TOI-125 d,TOI-125,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,19.98,0.005,-0.0056,0.0,0.137,0.0022,-0.0022,0.0,2.93,0.17,-0.17,0.0,0.261,0.015,-0.015,0.0,13.6,1.2,-1.2,0.0,0.04279,0.00378,-0.00378,0.0,Mass,0.168,0.088,-0.062,0.0,26.7,1.4,-1.4,0.0,638.0,7.0,-7.0,0.0,0,K0 V,5320.0,39.0,-39.0,0.0,0.85,0.01,-0.01,0.0,0.86,0.04,-0.04,0.0,-0.02,0.03,-0.03,0.0,[Fe/H],4.52,0.02,-0.02,0.0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411
TOI-1431 b,TOI-1431,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,2.650237,3e-06,-3e-06,0.0,0.046,0.002,-0.002,0.0,16.701,0.56,-0.56,0.0,1.49,0.05,-0.05,0.0,991.62463,57.20911,-57.20911,0.0,3.12,0.18,-0.18,0.0,Mass,0.0022,0.003,-0.0016,0.0,5300.0,500.0,-470.0,0.0,2370.0,70.0,-70.0,0.0,0,Am C,7690.0,400.0,-250.0,0.0,1.92,0.07,-0.07,0.0,1.9,0.1,-0.08,0.0,0.09,0.03,-0.03,0.0,[Fe/H],4.15,0.04,-0.04,0.0,21h04m48.89s,316.2036922,+55d35m16.88s,55.5880221,148.925,1.034,-1.02,8.03,0.03,-0.03,7.439,0.029,-0.029,7.97561,0.000252,-0.000252
TOI-1728 b,TOI-1728,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,3.49151,6.2e-05,-5.7e-05,0.0,0.0391,0.0009,-0.0009,0.0,5.05,0.16,-0.17,0.0,0.451,0.014,-0.015,0.0,26.78,5.43,-5.13,0.0,0.08426,0.01708,-0.01614,0.0,Mass,0.057,0.054,-0.039,0.0,57.78,3.48,-3.48,0.0,767.0,8.0,-8.0,0.0,0,M0,3980.0,31.0,-32.0,0.0,0.62,0.01,-0.01,0.0,0.65,0.02,-0.02,0.0,0.25,0.1,-0.1,0.0,[Fe/H],4.66,0.02,-0.02,0.0,08h02m26.80s,120.6116787,+64d47m49.75s,64.7971531,60.798,0.13635,-0.13635,12.39,0.055,-0.055,8.803001,0.02,-0.02,11.7294,0.000478,-0.000478
TOI-181 b,TOI-181,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,4.532,2e-06,-2e-06,0.0,0.0539,0.0043,-0.0036,0.0,6.956,0.087,-0.101,0.0,0.634,0.008,-0.009,0.0,46.1687,2.71,-7.83,0.0,0.1452,0.0085,-0.024,0.0,Mass,0.1543,0.06,-0.03,0.0,102.43,15.52,-14.64,0.0,895.0,32.0,-34.0,0.0,0,K,4994.0,50.0,-50.0,0.0,0.74,0.02,-0.02,0.0,0.82,0.04,-0.04,0.0,0.272,0.08,-0.08,0.0,[M/H],4.61,0.04,-0.04,0.0,23h28m41.41s,352.1725409,-34d29m29.08s,-34.4914099,96.2338,0.5781,-0.5714,11.191,0.019,-0.019,9.047,0.021,-0.021,11.0857,0.000737,-0.000737
TOI-1899 b,TOI-1899,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,29.090312,3.6e-05,-3.5e-05,0.0,0.1525,0.0065,-0.006,0.0,11.097,0.336,-0.336,0.0,0.99,0.03,-0.03,0.0,212.94503,12.71314,-12.71314,0.0,0.67,0.04,-0.04,0.0,Mass,0.044,0.029,-0.027,0.0,3.4,0.3,-0.2,0.0,378.0,8.0,-7.0,0.0,0,M0,3926.0,45.0,-47.0,0.0,0.61,0.02,-0.02,0.0,0.63,0.03,-0.03,0.0,0.28,0.11,-0.11,0.0,[Fe/H],4.67,0.02,-0.02,0.0,19h57m42.44s,299.4268472,+40d08m36.05s,40.1433462,128.438,0.25,-0.25,14.88,0.2,-0.2,10.509,0.018,-0.018,13.5553,0.000422,-0.000422
TOI-2010 b,TOI-2010,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,141.834025,6.5e-05,-6.6e-05,0.0,0.5516,0.0078,-0.0093,0.0,11.814,0.303,-0.303,0.0,1.054,0.027,-0.027,0.0,408.72733,17.48056,-18.11622,0.0,1.286,0.055,-0.057,0.0,Mass,0.212,0.022,-0.021,0.0,4.09,0.22,-0.21,0.0,400.0,6.0,-6.0,0.0,0,F0,5929.0,74.0,-74.0,0.0,1.08,0.03,-0.03,0.0,1.11,0.05,-0.06,0.0,0.168,0.055,-0.055,0.0,[Fe/H],4.42,0.02,-0.03,0.0,19h28m40.07s,292.1669417,+53d29m14.53s,53.4873694,109.19,0.322,-0.32,9.849,0.004,-0.004,8.281,0.016,-0.016,9.69568,0.00032,-0.00032
TOI-2134 b,TOI-2134,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,9.2292005,6.3e-06,-6.3e-06,0.0,0.078,0.0009,-0.0009,0.0,2.69,0.16,-0.16,0.0,0.24,0.014,-0.014,0.0,9.13,0.78,-0.76,0.0,0.02873,0.00245,-0.00239,0.0,Mass,0.06,0.03,-0.04,0.0,32.0,2.0,-2.0,0.0,666.0,8.0,-8.0,0.0,0,K5 V,4580.0,50.0,-50.0,0.0,0.71,0.02,-0.02,0.0,0.74,0.03,-0.03,0.0,0.12,0.02,-0.02,0.0,[Fe/H],4.8,0.3,-0.3,0.0,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202,0.016,-0.0159,8.933,0.003,-0.003,6.091,0.017,-0.017,8.5077,0.000511,-0.000511
TOI-2134 c,TOI-2134,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,95.5,0.36,-0.25,0.0,0.371,0.004,-0.004,0.0,7.27,0.42,-0.42,0.0,0.649,0.037,-0.037,0.0,41.89,7.69,-7.83,0.0,0.1318,0.0242,-0.02464,0.0,Mass,0.67,0.05,-0.06,0.0,1.4,0.1,-0.1,0.0,306.0,4.0,-4.0,0.0,0,K5 V,4580.0,50.0,-50.0,0.0,0.71,0.02,-0.02,0.0,0.74,0.03,-0.03,0.0,0.12,0.02,-0.02,0.0,[Fe/H],4.8,0.3,-0.3,0.0,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202,0.016,-0.0159,8.933,0.003,-0.003,6.091,0.017,-0.017,8.5077,0.000511,-0.000511
TOI-2180 b,TOI-2180,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,260.79,0.59,-0.58,0.0,0.828,0.012,-0.012,0.0,11.321,0.247,-0.213,0.0,1.01,0.022,-0.019,0.0,875.61726,27.65107,-25.7441,0.0,2.755,0.087,-0.081,0.0,Mass,0.3683,0.0073,-0.0073,0.0,2.71,0.13,-0.13,0.0,348.0,3.0,-4.0,0.0,1,G5,5695.0,58.0,-60.0,0.0,1.64,0.03,-0.03,0.0,1.11,0.05,-0.05,0.0,0.253,0.057,-0.057,0.0,[Fe/H],4.06,0.02,-0.02,0.0,18h31m46.47s,277.94363,+56d39m02.44s,56.6506789,116.685,0.267,-0.266,9.162,0.002,-0.002,7.604,0.016,-0.016,9.01133,0.000236,-0.000236
TOI-269 b,TOI-269,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.6977104,3.7e-06,-3.7e-06,0.0,0.0345,0.0015,-0.0015,0.0,2.77,0.12,-0.12,0.0,0.247,0.011,-0.011,0.0,8.8,1.4,-1.4,0.0,0.02769,0.0044,-0.0044,0.0,Mass,0.425,0.082,-0.086,0.0,19.0,4.0,-3.3,0.0,531.0,25.0,-25.0,0.0,0,M2 V,3514.0,70.0,-70.0,0.0,0.4,0.01,-0.01,0.0,0.39,0.01,-0.01,0.0,-0.29,0.12,-0.12,0.0,[Fe/H],4.83,0.03,-0.03,0.0,05h03m23.11s,75.8462827,-54d10m39.80s,-54.1777213,57.0225,0.0757,-0.0756,14.37,0.114,-0.114,10.1,0.023,-0.023,13.4258,0.000369,-0.000369
TOI-3629 b,TOI-3629,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,3.936551,5e-06,-6e-06,0.0,0.043,0.002,-0.002,0.0,8.295,0.224,-0.224,0.0,0.74,0.02,-0.02,0.0,82.63539,6.35657,-6.35657,0.0,0.26,0.02,-0.02,0.0,Mass,0.05,0.05,-0.04,0.0,39.0,4.0,-4.0,0.0,690.0,20.0,-20.0,0.0,0,M1,3870.0,90.0,-90.0,0.0,0.6,0.02,-0.01,0.0,0.63,0.02,-0.02,0.0,0.4,0.1,-0.1,0.0,[Fe/H],4.67,0.05,-0.05,0.0,23h59m10.41s,359.7933851,+39d18m51.32s,39.3142556,130.091,0.548,-0.545,14.639,0.061,-0.061,10.553,0.02,-0.02,13.8375,0.000472,-0.000472
TOI-3714 b,TOI-3714,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.154849,1e-06,-1e-06,0.0,0.027,0.001,-0.001,0.0,11.321,0.336,-0.336,0.0,1.01,0.03,-0.03,0.0,222.47988,9.53485,-9.53485,0.0,0.7,0.03,-0.03,0.0,Mass,0.03,0.03,-0.02,0.0,54.0,4.0,-5.0,0.0,750.0,20.0,-20.0,0.0,0,M2,3660.0,90.0,-90.0,0.0,0.51,0.01,-0.01,0.0,0.53,0.02,-0.02,0.0,0.1,0.1,-0.1,0.0,[Fe/H],4.75,0.05,-0.05,0.0,04h38m12.56s,69.5523415,+39d27m28.81s,39.4580035,112.71,0.586,-0.579,15.7,0.2,-0.2,10.852,0.017,-0.017,14.3107,0.000499,-0.000499
TOI-3757 b,TOI-3757,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,3.438753,4e-06,-4e-06,0.0,0.03845,0.00043,-0.00043,0.0,12.0,0.4,-0.5,0.0,1.071,0.036,-0.045,0.0,85.3,8.8,-8.7,0.0,0.26838,0.02769,-0.02737,0.0,Mass,0.14,0.06,-0.06,0.0,55.4,3.8,-3.8,0.0,759.0,13.0,-13.0,0.0,0,M0 V,3913.0,56.0,-56.0,0.0,0.62,0.01,-0.01,0.0,0.64,0.02,-0.02,0.0,0.0,0.2,-0.2,0.0,[Fe/H],4.68,0.04,-0.04,0.0,06h04m00.87s,91.0036423,+55d01m11.93s,55.0199793,181.139,1.194,-1.179,14.812,0.064,-0.064,11.152,0.02,-0.02,14.1321,0.000442,-0.000442
TOI-3785 b,TOI-3785,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,4.6747373,3.8e-06,-3.8e-06,0.0,0.043,0.001,-0.001,0.0,5.14,0.16,-0.16,0.0,0.459,0.014,-0.014,0.0,14.95,4.1,-3.92,0.0,0.04704,0.0129,-0.01233,0.0,Mass,0.11,0.1,-0.08,0.0,19.1,2.0,-2.0,0.0,582.0,16.0,-16.0,0.0,0,M2 V,3576.0,88.0,-88.0,0.0,0.5,0.01,-0.01,0.0,0.52,0.02,-0.02,0.0,0.099,0.117,-0.117,0.0,[Fe/H],4.75,0.05,-0.05,0.0,08h43m36.05s,130.9002258,+63d04m41.08s,63.0780768,79.7634,0.2243,-0.223,14.595,0.101,-0.101,10.165,0.022,-0.022,13.6559,0.00036,-0.00036
TOI-3884 b,TOI-3884,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,4.5445828,9.8e-06,-9.8e-06,0.0,0.0361,0.0008,-0.0008,0.0,6.43,0.2,-0.2,0.0,0.574,0.018,-0.018,0.0,32.59,7.31,-7.38,0.0,0.10254,0.023,-0.02322,0.0,Mass,0.06,0.06,-0.04,0.0,6.29,0.84,-0.84,0.0,441.0,15.0,-15.0,0.0,0,M4,3180.0,88.0,-88.0,0.0,0.3,0.01,-0.01,0.0,0.3,0.02,-0.02,0.0,0.04,0.12,-0.12,0.0,[Fe/H],4.97,0.05,-0.05,0.0,12h06m17.24s,181.5718341,+12d30m25.29s,12.5070258,43.1448,0.169,-0.1678,15.744,0.008,-0.008,10.24,0.017,-0.017,14.2747,0.000755,-0.000755
TOI-4010 b,TOI-4010,1,4,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,1.348335,3e-06,-2e-06,0.0,0.0229,0.0002,-0.0002,0.0,3.02,0.08,-0.08,0.0,0.269,0.007,-0.007,0.0,11.0,1.29,-1.27,0.0,0.03461,0.00406,-0.004,0.0,Mass,0.03,0.03,-0.02,0.0,714.0,28.0,-26.0,0.0,1441.0,14.0,-13.0,0.0,0,K V,4960.0,36.0,-36.0,0.0,0.83,0.01,-0.01,0.0,0.88,0.03,-0.03,0.0,0.37,0.07,-0.07,0.0,[Fe/H],4.54,0.02,-0.02,0.0,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.504,0.994,-0.982,12.291,0.069,-0.069,10.157,0.021,-0.021,12.1216,0.000207,-0.000207
TOI-4010 c,TOI-4010,1,4,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,5.414654,7e-06,-7e-06,0.0,0.058,0.001,-0.001,0.0,5.93,0.11,-0.12,0.0,0.529,0.01,-0.011,0.0,20.31,2.13,-2.11,0.0,0.0639,0.0067,-0.00664,0.0,Mass,0.03,0.03,-0.02,0.0,112.0,4.0,-4.0,0.0,907.0,9.0,-8.0,0.0,0,K V,4960.0,36.0,-36.0,0.0,0.83,0.01,-0.01,0.0,0.88,0.03,-0.03,0.0,0.37,0.07,-0.07,0.0,[Fe/H],4.54,0.02,-0.02,0.0,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.504,0.994,-0.982,12.291,0.069,-0.069,10.157,0.021,-0.021,12.1216,0.000207,-0.000207
TOI-4010 d,TOI-4010,1,4,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,14.70886,3e-05,-3e-05,0.0,0.113,0.001,-0.001,0.0,6.18,0.14,-0.15,0.0,0.551,0.012,-0.013,0.0,38.15,3.27,-3.22,0.0,0.12003,0.01029,-0.01013,0.0,Mass,0.07,0.03,-0.03,0.0,30.0,1.0,-1.0,0.0,650.0,6.0,-6.0,0.0,0,K V,4960.0,36.0,-36.0,0.0,0.83,0.01,-0.01,0.0,0.88,0.03,-0.03,0.0,0.37,0.07,-0.07,0.0,[Fe/H],4.54,0.02,-0.02,0.0,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.504,0.994,-0.982,12.291,0.069,-0.069,10.157,0.021,-0.021,12.1216,0.000207,-0.000207
TOI-4127 b,TOI-4127,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,56.39879,0.0001,-0.0001,0.0,0.3081,0.0055,-0.0058,0.0,12.285,0.437,-0.359,0.0,1.096,0.039,-0.032,0.0,731.00534,34.96112,-34.96112,0.0,2.3,0.11,-0.11,0.0,Mass,0.7471,0.0078,-0.0086,0.0,22.3,1.5,-1.5,0.0,605.0,10.0,-8.0,0.0,0,F V,6096.0,115.0,-115.0,0.0,1.29,0.05,-0.05,0.0,1.23,0.07,-0.07,0.0,0.14,0.12,-0.12,0.0,[Fe/H],4.26,0.14,-0.14,0.0,07h01m37.09s,105.4045516,+72d24m53.75s,72.4149297,319.632,3.351,-3.283,11.441,0.01,-0.01,10.245,0.016,-0.016,11.4122,0.000533,-0.000533
TOI-4201 b,TOI-4201,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,3.5819194,1.1e-06,-1.1e-06,0.0,0.04,0.001,-0.001,0.0,13.675,0.448,-0.448,0.0,1.22,0.04,-0.04,0.0,788.21445,28.60456,-28.60456,0.0,2.48,0.09,-0.09,0.0,Mass,0.041,0.015,-0.015,0.0,45.2,3.2,-3.2,0.0,725.0,20.0,-20.0,0.0,0,M1.0+/-0.5,3794.0,79.0,-79.0,0.0,0.63,0.02,-0.02,0.0,0.61,0.02,-0.02,0.0,0.52,0.08,-0.08,0.0,[Fe/H],4.64,0.03,-0.03,0.0,06h01m53.93s,90.4747237,-13d27m40.94s,-13.461371,189.011,0.9885,-0.9885,15.163,0.08,-0.08,11.368,0.025,-0.025,14.5001,0.000441,-0.000441
